WKT,type,label,descr,city,region,country,house,phone,zip,highway,level,endlevel,GEOMETRY_X,GEOMETRY_Y
"POINT (172.65046 -43.52983)",5654,,,,,,,,,,0,0,172.65046,-43.52983
"POINT (172.64328 -43.52987)",5654,,,,,,,,,,0,0,172.64328,-43.52987
"POINT (172.66754 -43.52987)",5654,,,,,,,,,,0,0,172.66754,-43.52987
"POINT (172.57107 -43.50652)",5654,,,,,,,,,,0,0,172.57107,-43.50652
"POINT (172.59361 -43.49034)",5654,,,,,,,,,,0,0,172.59361,-43.49034
"POINT (172.59274 -43.55487)",5654,,,,,,,,,,0,0,172.59274,-43.55487
"POINT (172.57081 -43.5854)",5654,,,,,,,,,,0,0,172.57081,-43.5854
"POINT (172.68528 -43.54108)",5654,,,,,,,,,,0,0,172.68528,-43.54108
"POINT (172.64334 -43.53203)",5654,,,,,,,,,,0,0,172.64334,-43.53203
"POINT (172.6427 -43.53206)",5654,,,,,,,,,,0,0,172.6427,-43.53206
"POINT (172.65164 -43.50811)",5654,,,,,,,,,,0,0,172.65164,-43.50811
"POINT (172.63124 -43.52661)",5654,,,,,,,,,,0,0,172.63124,-43.52661
"POINT (172.65051 -43.53426)",5654,,,,,,,,,,0,0,172.65051,-43.53426
"POINT (172.60096 -43.55)",5654,,,,,,,,,,0,0,172.60096,-43.55
"POINT (172.60882 -43.54534)",5654,,,,,,,,,,0,0,172.60882,-43.54534
"POINT (172.67312 -43.5336)",5654,,,,,,,,,,0,0,172.67312,-43.5336
"POINT (172.6708 -43.53203)",5654,,,,,,,,,,0,0,172.6708,-43.53203
"POINT (172.64256 -43.52085)",5654,,,,,,,,,,0,0,172.64256,-43.52085
"POINT (172.64265 -43.52878)",5654,,,,,,,,,,0,0,172.64265,-43.52878
"POINT (172.6427 -43.53313)",5654,,,,,,,,,,0,0,172.6427,-43.53313
"POINT (172.64265 -43.52659)",5654,,,,,,,,,,0,0,172.64265,-43.52659
"POINT (172.6427 -43.53422)",5654,,,,,,,,,,0,0,172.6427,-43.53422
"POINT (172.6427 -43.53995)",5654,,,,,,,,,,0,0,172.6427,-43.53995
"POINT (172.64265 -43.5244)",5654,,,,,,,,,,0,0,172.64265,-43.5244
"POINT (172.6427 -43.53641)",5654,,,,,,,,,,0,0,172.6427,-43.53641
"POINT (172.6427 -43.53532)",5654,,,,,,,,,,0,0,172.6427,-43.53532
"POINT (172.56736 -43.53232)",5654,,,,,,,,,,0,0,172.56736,-43.53232
"POINT (172.63963 -43.52086)",5654,,,,,,,,,,0,0,172.63963,-43.52086
"POINT (172.56036 -43.49981)",5654,,,,,,,,,,0,0,172.56036,-43.49981
"POINT (172.63066 -43.52087)",5654,,,,,,,,,,0,0,172.63066,-43.52087
"POINT (172.63066 -43.54748)",5654,,,,,,,,,,0,0,172.63066,-43.54748
"POINT (172.63061 -43.53315)",5654,,,,,,,,,,0,0,172.63061,-43.53315
"POINT (172.63061 -43.52989)",5654,,,,,,,,,,0,0,172.63061,-43.52989
"POINT (172.63061 -43.53496)",5654,,,,,,,,,,0,0,172.63061,-43.53496
"POINT (172.63061 -43.53534)",5654,,,,,,,,,,0,0,172.63061,-43.53534
"POINT (172.63061 -43.53096)",5654,,,,,,,,,,0,0,172.63061,-43.53096
"POINT (172.63061 -43.53995)",5654,,,,,,,,,,0,0,172.63061,-43.53995
"POINT (172.61787 -43.54)",5654,,,,,,,,,,0,0,172.61787,-43.54
"POINT (172.65643 -43.53991)",5654,,,,,,,,,,0,0,172.65643,-43.53991
"POINT (172.66525 -43.50796)",5654,,,,,,,,,,0,0,172.66525,-43.50796
"POINT (172.65634 -43.51762)",5654,,,,,,,,,,0,0,172.65634,-43.51762
"POINT (172.6163 -43.48454)",5654,,,,,,,,,,0,0,172.6163,-43.48454
"POINT (172.66287 -43.50807)",5654,,,,,,,,,,0,0,172.66287,-43.50807
"POINT (172.65547 -43.54858)",5654,,,,,,,,,,0,0,172.65547,-43.54858
"POINT (172.67062 -43.55547)",5654,,,,,,,,,,0,0,172.67062,-43.55547
"POINT (172.62759 -43.53448)",5654,,,,,,,,,,0,0,172.62759,-43.53448
"POINT (172.70175 -43.51728)",5654,,,,,,,,,,0,0,172.70175,-43.51728
"POINT (172.68722 -43.55156)",5654,,,,,,,,,,0,0,172.68722,-43.55156
"POINT (172.62809 -43.52087)",5654,,,,,,,,,,0,0,172.62809,-43.52087
"POINT (172.62622 -43.53502)",5654,,,,,,,,,,0,0,172.62622,-43.53502
"POINT (172.57371 -43.53182)",5654,,,,,,,,,,0,0,172.57371,-43.53182
"POINT (172.59553 -43.53013)",5654,,,,,,,,,,0,0,172.59553,-43.53013
"POINT (172.60191 -43.52964)",5654,,,,,,,,,,0,0,172.60191,-43.52964
"POINT (172.61598 -43.48788)",5654,,,,,,,,,,0,0,172.61598,-43.48788
"POINT (172.63066 -43.52444)",5654,,,,,,,,,,0,0,172.63066,-43.52444
"POINT (172.62718 -43.55416)",5654,,,,,,,,,,0,0,172.62718,-43.55416
"POINT (172.63815 -43.52087)",5654,,,,,,,,,,0,0,172.63815,-43.52087
"POINT (172.54516 -43.54354)",5654,,,,,,,,,,0,0,172.54516,-43.54354
"POINT (172.63061 -43.53644)",5654,,,,,,,,,,0,0,172.63061,-43.53644
"POINT (172.62797 -43.54761)",5654,,,,,,,,,,0,0,172.62797,-43.54761
"POINT (172.63688 -43.558)",5654,,,,,,,,,,0,0,172.63688,-43.558
"POINT (172.65049 -43.5353)",5654,,,,,,,,,,0,0,172.65049,-43.5353
"POINT (172.69418 -43.51122)",5654,,,,,,,,,,0,0,172.69418,-43.51122
"POINT (172.64691 -43.54496)",5654,,,,,,,,,,0,0,172.64691,-43.54496
"POINT (172.64671 -43.54491)",5654,,,,,,,,,,0,0,172.64671,-43.54491
"POINT (172.6728 -43.52521)",5654,,,,,,,,,,0,0,172.6728,-43.52521
"POINT (172.56813 -43.53075)",5654,,,,,,,,,,0,0,172.56813,-43.53075
"POINT (174.9064 -36.89778)",5654,,,,,,,,,,0,0,174.9064,-36.89778
"POINT (174.90228 -36.89902)",5654,,,,,,,,,,0,0,174.90228,-36.89902
"POINT (174.9042 -36.89807)",5654,,,,,,,,,,0,0,174.9042,-36.89807
"POINT (174.9006 -36.89996)",5654,,,,,,,,,,0,0,174.9006,-36.89996
"POINT (174.89932 -36.90065)",5654,,,,,,,,,,0,0,174.89932,-36.90065
"POINT (174.89448 -36.9038)",5654,,,,,,,,,,0,0,174.89448,-36.9038
"POINT (174.88919 -36.9061)",5654,,,,,,,,,,0,0,174.88919,-36.9061
"POINT (174.88505 -36.90788)",5654,,,,,,,,,,0,0,174.88505,-36.90788
"POINT (174.86926 -36.91181)",5654,,,,,,,,,,0,0,174.86926,-36.91181
"POINT (174.84797 -36.89817)",5654,,,,,,,,,,0,0,174.84797,-36.89817
"POINT (174.86204 -36.91103)",5654,,,,,,,,,,0,0,174.86204,-36.91103
"POINT (174.85672 -36.90662)",5654,,,,,,,,,,0,0,174.85672,-36.90662
"POINT (174.84541 -36.89757)",5654,,,,,,,,,,0,0,174.84541,-36.89757
"POINT (174.84144 -36.89657)",5654,,,,,,,,,,0,0,174.84144,-36.89657
"POINT (174.8164 -36.89965)",5654,,,,,,,,,,0,0,174.8164,-36.89965
"POINT (174.87088 -36.91497)",5654,,,,,,,,,,0,0,174.87088,-36.91497
"POINT (174.87295 -36.91667)",5654,,,,,,,,,,0,0,174.87295,-36.91667
"POINT (174.87721 -36.92028)",5654,,,,,,,,,,0,0,174.87721,-36.92028
"POINT (174.8849 -36.92387)",5654,,,,,,,,,,0,0,174.8849,-36.92387
"POINT (174.89172 -36.92593)",5654,,,,,,,,,,0,0,174.89172,-36.92593
"POINT (174.89448 -36.92642)",5654,,,,,,,,,,0,0,174.89448,-36.92642
"POINT (174.89796 -36.92707)",5654,,,,,,,,,,0,0,174.89796,-36.92707
"POINT (174.90197 -36.92788)",5654,,,,,,,,,,0,0,174.90197,-36.92788
"POINT (174.90521 -36.92903)",5654,,,,,,,,,,0,0,174.90521,-36.92903
"POINT (174.90892 -36.92943)",5654,,,,,,,,,,0,0,174.90892,-36.92943
"POINT (174.91244 -36.92885)",5654,,,,,,,,,,0,0,174.91244,-36.92885
"POINT (174.91406 -36.92915)",5654,,,,,,,,,,0,0,174.91406,-36.92915
"POINT (174.91592 -36.92947)",5654,,,,,,,,,,0,0,174.91592,-36.92947
"POINT (174.92083 -36.9247)",5654,,,,,,,,,,0,0,174.92083,-36.9247
"POINT (174.91111 -36.93168)",5654,,,,,,,,,,0,0,174.91111,-36.93168
"POINT (174.91023 -36.93443)",5654,,,,,,,,,,0,0,174.91023,-36.93443
"POINT (174.90829 -36.94208)",5654,,,,,,,,,,0,0,174.90829,-36.94208
"POINT (174.90492 -36.95412)",5654,,,,,,,,,,0,0,174.90492,-36.95412
"POINT (174.90335 -36.95923)",5654,,,,,,,,,,0,0,174.90335,-36.95923
"POINT (174.90193 -36.9637)",5654,,,,,,,,,,0,0,174.90193,-36.9637
"POINT (174.89775 -36.97813)",5654,,,,,,,,,,0,0,174.89775,-36.97813
"POINT (174.89552 -36.98297)",5654,,,,,,,,,,0,0,174.89552,-36.98297
"POINT (174.88133 -36.98683)",5654,,,,,,,,,,0,0,174.88133,-36.98683
"POINT (174.87341 -36.9892)",5654,,,,,,,,,,0,0,174.87341,-36.9892
"POINT (174.88313 -36.9895)",5654,,,,,,,,,,0,0,174.88313,-36.9895
"POINT (174.88528 -36.99255)",5654,,,,,,,,,,0,0,174.88528,-36.99255
"POINT (174.89622 -36.99007)",5654,,,,,,,,,,0,0,174.89622,-36.99007
"POINT (174.85362 -36.91122)",5654,,,,,,,,,,0,0,174.85362,-36.91122
"POINT (174.84483 -36.90935)",5654,,,,,,,,,,0,0,174.84483,-36.90935
"POINT (174.84646 -36.9153)",5654,,,,,,,,,,0,0,174.84646,-36.9153
"POINT (174.84666 -36.91615)",5654,,,,,,,,,,0,0,174.84666,-36.91615
"POINT (174.847 -36.9173)",5654,,,,,,,,,,0,0,174.847,-36.9173
"POINT (174.84742 -36.91877)",5654,,,,,,,,,,0,0,174.84742,-36.91877
"POINT (174.82644 -36.91573)",5654,,,,,,,,,,0,0,174.82644,-36.91573
"POINT (174.82417 -36.91707)",5654,,,,,,,,,,0,0,174.82417,-36.91707
"POINT (174.81973 -36.91943)",5654,,,,,,,,,,0,0,174.81973,-36.91943
"POINT (174.81329 -36.92012)",5654,,,,,,,,,,0,0,174.81329,-36.92012
"POINT (174.8139 -36.91237)",5654,,,,,,,,,,0,0,174.8139,-36.91237
"POINT (174.80024 -36.92148)",5654,,,,,,,,,,0,0,174.80024,-36.92148
"POINT (172.63963 -43.53315)",5654,,,,,,,,,,0,0,172.63963,-43.53315
"POINT (172.63664 -43.53641)",5654,,,,,,,,,,0,0,172.63664,-43.53641
"POINT (172.63664 -43.53532)",5654,,,,,,,,,,0,0,172.63664,-43.53532
"POINT (172.63664 -43.53422)",5654,,,,,,,,,,0,0,172.63664,-43.53422
"POINT (172.63664 -43.53205)",5654,,,,,,,,,,0,0,172.63664,-43.53205
"POINT (172.63662 -43.52986)",5654,,,,,,,,,,0,0,172.63662,-43.52986
"POINT (172.63662 -43.52878)",5654,,,,,,,,,,0,0,172.63662,-43.52878
"POINT (172.63351 -43.52987)",5654,,,,,,,,,,0,0,172.63351,-43.52987
"POINT (172.63662 -43.52442)",5654,,,,,,,,,,0,0,172.63662,-43.52442
"POINT (172.63963 -43.52442)",5654,,,,,,,,,,0,0,172.63963,-43.52442
"POINT (172.63963 -43.52659)",5654,,,,,,,,,,0,0,172.63963,-43.52659
"POINT (172.63963 -43.52878)",5654,,,,,,,,,,0,0,172.63963,-43.52878
"POINT (172.63963 -43.53096)",5654,,,,,,,,,,0,0,172.63963,-43.53096
